activity_id,source_commercial_activity_id,store_name,category_name,category_group,quartiere_id,x_coord,y_coord,address
871,EP,,DIA di somministrazione,somministrazione,23,1393537.459,4984853.475,STRADA CASTELLO DI MIRAFIORI 285
872,EP,,Somministrazione,somministrazione,21,1398498.952,4991208.8,VIA CASTELNUOVO 4/C
873,EP,,Somministrazione,somministrazione,1,1396470.547,4991735.273,PIAZZA CASTELLO 155
874,EP,,Somministrazione,somministrazione,21,1400491.021,4993398.967,CORSO CASALE 428/C
875,EP,,DIA di somministrazione,somministrazione,21,1400797.117,4993434.962,CORSO CASALE 438 int. 16
876,EP,,DIA di somministrazione,somministrazione,18,1398157.857,4994068.876,VIA LUIGI SALVATORE CHERUBINI 80 int. 3
877,EP,,Somministrazione,somministrazione,18,1397397.301,4994099.311,VIA LUIGI SALVATORE CHERUBINI 15/B
878,EP,,DIA di somministrazione,somministrazione,23,1391885.785,4985065.876,STRADA CASTELLO DI MIRAFIORI 38 int. 15
879,EP,,Somministrazione,somministrazione,1,1396658.401,4991578.671,PIAZZA CASTELLO 9
880,EP,,DIA di somministrazione,somministrazione,19,1397622.083,4995939.829,VIA GIOVANNI CENA 5
881,EP,,Somministrazione,somministrazione,1,1396597.857,4991582.092,PIAZZA CASTELLO 44
882,EP,,Somministrazione,somministrazione,1,1396563.515,4991600.259,PIAZZA CASTELLO 54
883,EP,,Somministrazione,somministrazione,1,1396576.411,4991584.982,PIAZZA CASTELLO 59
884,EP,,Somministrazione,somministrazione,1,1396524.201,4991620.346,PIAZZA CASTELLO 72
885,EP,,Somministrazione,somministrazione,21,1400148.74,4992670.74,CORSO CASALE 321 bis/A
886,EP,,Somministrazione,somministrazione,18,1397338.515,4994073.074,VIA LUIGI SALVATORE CHERUBINI 4 bis/C
887,EP,,DIA di somministrazione,somministrazione,12,1392306.551,4989605.031,VIA CASTELGOMBERTO 20
888,EP,,Somministrazione,somministrazione,21,1400200.043,4992226.115,CORSO CASALE 290/A
889,EP,,Somministrazione,somministrazione,21,1400257.609,4992486.921,CORSO CASALE 308/B
890,EP,,Somministrazione,somministrazione,7,1396096.902,4993675.398,VIA ANTONIO CECCHI 55/C
891,EP,,DIA di somministrazione,somministrazione,7,1396431.64895833,4993205.87682292,VIA ANTONIO CECCHI 2
892,EP,,Somministrazione,somministrazione,12,1392256.033,4988721.638,VIA CASTELGOMBERTO 116/I
893,EP,,Somministrazione,somministrazione,21,1399823.864,4991627.721,CORSO CASALE 221/E
894,EP,,DIA di somministrazione,somministrazione,13,1390904.37916667,4991590.59583333,VIA CHAMBERY 80 scala B
895,EP,,DIA di somministrazione,somministrazione,7,1396359.71,4993301.771,VIA ANTONIO CECCHI 16
896,EP,,DIA di somministrazione,somministrazione,1,1396725.479,4990867.479,VIA CAVOUR 31
897,EP,,Somministrazione,somministrazione,16,1395539.081,4994866.708,LARGO CASTELDELFINO 19/E
898,EP,,Somministrazione,somministrazione,11,1393430.504,4988770.53,VIA CASTAGNEVIZZA 15/A
899,EP,,Somministrazione,somministrazione,21,1399231.984,4991435.874,CORSO CASALE 160/G
900,EP,,Somministrazione,somministrazione,21,1399672.799,4991552.905,CORSO CASALE 201/C
901,EP,,DIA di somministrazione,somministrazione,13,1391409.267,4991576.435,VIA CHAMBERY 33
902,EP,,Somministrazione,somministrazione,1,1396809.154,4990774.619,PIAZZA CAVOUR 2/B
903,EP,,DIA di somministrazione,somministrazione,19,1400359.03804283,4996947.57113035,STRADA DELLA CEBROSA 86
904,EP,,Somministrazione,somministrazione,19,1400359.03804283,4996947.57113035,STRADA DELLA CEBROSA 86
905,EP,,Somministrazione,somministrazione,16,1395518.547,4994683.712,VIA CASTELDELFINO 7/C
906,EP,,Somministrazione,somministrazione,13,1391347.995,4990668.884,VIA CHALLANT 13/A
907,EP,,Somministrazione,somministrazione,8,1397484.81,4991471.6,VIA MICHELE BUNIVA 9/A
908,EP,,Somministrazione,somministrazione,11,1392996.413,4988002.009,VIA BUENOS AIRES 71/D
909,EP,,Somministrazione,somministrazione,3,1394324.501,4989884.675,VIA GIUSEPPE E ANTONIO CARLE 42/D
910,EP,,Somministrazione,somministrazione,3,1394370.784,4989843.36,VIA GIUSEPPE E ANTONIO CARLE 45/C
911,EP,,DIA di somministrazione,somministrazione,14,1392505.9,4992711.356,VIA CARLO CAPELLI 51
912,EP,,Somministrazione,somministrazione,18,1397534.361,4994445.206,VIA PIER FORTUNATO CALVI 24/C
913,EP,,Somministrazione,somministrazione,1,1396500.023,4991525.645,PIAZZA CARIGNANO 2/D
914,EP,,Somministrazione,somministrazione,1,1396475.617,4991479.945,PIAZZA CARIGNANO 8
915,EP,,Somministrazione,somministrazione,3,1394757.968,4989656.129,VIA GIUSEPPE E ANTONIO CARLE 2/B
916,EP,,Somministrazione,somministrazione,9,1395314.22,4988466.552,PIAZZA GIOSUE' CARDUCCI 132/C
917,EP,,Somministrazione,somministrazione,9,1395312.999,4988469.1,PIAZZA GIOSUE' CARDUCCI 132
918,EP,,Somministrazione,somministrazione,1,1396811.711,4990639.6,VIA CALANDRA FRATELLI 6 scala A
919,EP,,DIA di somministrazione,somministrazione,1,1396825.108,4990638.044,VIA CALANDRA FRATELLI 6/A
920,EP,,Somministrazione,somministrazione,1,1396768.244,4990534.734,VIA CALANDRA FRATELLI 12/D
921,EP,,DIA di somministrazione,somministrazione,1,1396749.813,4990494.856,VIA CALANDRA FRATELLI 18
922,EP,,Somministrazione,somministrazione,10,1394124.779,4987329.86,VIA BRUNO GIORDANO 198
923,EP,,DIA di somministrazione,somministrazione,10,1394909.717,4988920.239,VIA BRUNO GIORDANO 3
924,EP,,Somministrazione,somministrazione,10,1394776.118,4988703.818,VIA BRUNO GIORDANO 42
925,EP,,Somministrazione,somministrazione,17,1395555.175,4994718.91,LARGO GUGLIELMO CARDINALE MASSAIA 44/D
926,EP,,DIA di somministrazione,somministrazione,10,1394627.18,4988420.528,VIA BRUNO GIORDANO 84
927,EP,,DIA di somministrazione,somministrazione,7,1397561.025,4992208.011,VIA CAGLIARI 26
928,EP,,Somministrazione,somministrazione,7,1397592.628,4992227.137,VIA CAGLIARI 28/D
929,EP,,DIA di somministrazione,somministrazione,7,1397581.95,4992220.675,VIA CAGLIARI 28
930,EP,,Somministrazione,somministrazione,2,1396750.388,4989942.315,VIALE UMBERTO CAGNI 37
931,EP,,DIA di somministrazione,somministrazione,16,1395092.312,4995145.55,VIA DELLA BRUSA' 4
932,EP,,Somministrazione,somministrazione,16,1395340.388,4995346.28,VIA BRUSNENGO 2/A
933,EP,,Somministrazione,somministrazione,17,1395702.156,4994414.235,VIA GUGLIELMO CARDINALE MASSAIA 7/B
934,EP,,Somministrazione,somministrazione,4,1393092.346,4990308.44,VIA CARAGLIO 130/C
935,EP,,Somministrazione,somministrazione,23,1393943.402,4985495.627,VIA CANDIOLO 43/B
936,EP,,Somministrazione,somministrazione,9,1395060.694,4986484.231,VIA CARAMAGNA 34
937,EP,,DIA di somministrazione,somministrazione,11,1393551.167,4988862.853,VIA RAFFAELE CADORNA 17
938,EP,,Somministrazione,somministrazione,4,1393104.883,4990706.006,VIA CARAGLIO 84
939,EP,,DIA di somministrazione,somministrazione,4,1393117.04053062,4991076.71238926,VIA CARAGLIO 32
940,EP,,Somministrazione,somministrazione,6,1395125.924,4993210.454,VIA CAPUA 8/F
941,EP,,Somministrazione,somministrazione,23,1392715.727,4985643.317,STRADA DELLE CACCE 78/B
942,EP,,Somministrazione,somministrazione,1,1395516.577,4992369.763,VIA DEL CARMINE 24/C
943,EP,,Somministrazione,somministrazione,1,1395469.913,4992399.008,VIA DEL CARMINE 28/D
944,EP,,Somministrazione,somministrazione,23,1391470.485,4985442.85,VIA FRANCESCA SAVERIA CABRINI 17/E
945,EP,,Somministrazione,somministrazione,1,1396208.132,4991231.38,PIAZZA (COMITATO LIBERAZIONE NAZIONALE) C.L.N. 246
946,EP,,Somministrazione,somministrazione,5,1393150.763,4991569.337,VIA LUIGI CAPRIOLO 55/A
947,EP,,DIA di somministrazione,somministrazione,2,1396191.091,4989845.452,VIA FEDERICO CAMPANA 24
948,EP,,DIA di somministrazione,somministrazione,20,1398583.344,4993672.165,PIAZZALE (C.R.I.) CROCE ROSSA ITALIANA 220
949,EP,,DIA di somministrazione,somministrazione,3,1394621.101,4989979.071,VIA SEBASTIANO CABOTO 27
950,EP,,Somministrazione,somministrazione,1,1396144.053,4990937.247,PIAZZA CARLO FELICE 17
951,EP,,Somministrazione,somministrazione,1,1396025.43,4990911.907,PIAZZA CARLO FELICE 40
952,EP,,Somministrazione,somministrazione,1,1396123.354,4990857.847,PIAZZA CARLO FELICE 49
953,EP,,Somministrazione,somministrazione,1,1395998.956,4990861.914,PIAZZA CARLO FELICE 74
954,EP,,Somministrazione,somministrazione,1,1396274.825,4990790.935,VIA CARLO ALBERTO 40/A
955,EP,,Somministrazione,somministrazione,11,1393687.72,4989333.188,VIA CAPRERA 17/B
956,EP,,Somministrazione,somministrazione,21,1398726.829,4991120.562,VIA BUTTIGLIERA 3/A
957,EP,,Somministrazione,somministrazione,11,1393382.739,4989497.814,VIA CAPRERA 54/A
958,EP,,DIA di somministrazione,somministrazione,9,1395219.51496187,4988146.22461133,VIA BUSCA 3
959,EP,,DIA di somministrazione,somministrazione,1,1396461.664,4991130.052,VIA CARLO ALBERTO 29
960,EP,,Somministrazione,somministrazione,1,1396347.168,4990931.25,VIA CARLO ALBERTO 32/F
961,EP,,Somministrazione,somministrazione,1,1396318.951,4990876.79,VIA CARLO ALBERTO 34/N
962,EP,,DIA di somministrazione,somministrazione,3,1394194.434,4989953.37,VIA GIUSEPPE E ANTONIO CARLE 50/A
963,EP,,Somministrazione,somministrazione,3,1394183.394,4989959.186,VIA GIUSEPPE E ANTONIO CARLE 52/A
964,EP,,Somministrazione,somministrazione,14,1392536.53,4992940.267,VIA CARLO CAPELLI 75/A
965,EP,,Somministrazione,somministrazione,14,1392550.048,4992926.599,VIA CARLO CAPELLI 76/B
966,EP,,DIA di somministrazione,somministrazione,7,1396953.987,4993238.125,VIA GIUSEPPE CAMINO 8/B
967,EP,,Somministrazione,somministrazione,23,1391488.296,4986299.117,VIA BURIASCO 9/A
968,EP,,Somministrazione,somministrazione,1,1396585.254,4991370.293,VIA CARLO ALBERTO 11/I
969,EP,,Somministrazione,somministrazione,14,1392499.989,4992553.77,VIA CARLO CAPELLI 34/B
970,EP,,Somministrazione,somministrazione,14,1392503.722,4992582.855,VIA CARLO CAPELLI 36/D
971,EP,,Somministrazione,somministrazione,1,1396149.883,4991096.731,VIA BRUNO BUOZZI 5
972,EP,,Somministrazione,somministrazione,16,1395445.203,4994900.852,VIA BREGLIO 144/B
973,EP,,Somministrazione,somministrazione,11,1393163.479,4988307.863,VIA BOSTON 30
974,EP,,DIA di somministrazione,somministrazione,11,1393038.24,4988272.96,VIA BOSTON 31/A
975,EP,,Somministrazione,somministrazione,7,1396430.332,4992577.149,VIA BORGO DORA 6 scala B
