WKT_GEOM;C_COMP_MERC;INDIRIZZ;CARRAIO;FRONTE;INSEGNA;ANNO_INI;MESE_INI;TIPO_MER;DESC_RIP;DETT_RIP;CAT_MER;PREVALEN;TIPO_LOC;MQ_TOT_L;MQ_TOT_V;TIPO_ADD;NOME_ADD;SEZCENS;ZONASTAT;NCIRCO;SEZ_ELET;CAP;COORD_X;COORD_Y
POINT (1395722.47083333 4995928.01875);CF;VIA PAOLO VERONESE 216;Si;No;;2007;7;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio in spaccio aziendale;Ricambi auto e accessori;S;101119;500;125;N;NEGOZIO;2443;67;5;534;10148;1395722,47083333;4995928,01875
POINT (1395722.47083333 4995928.01875);CF;VIA PAOLO VERONESE 216;Si;No;;2007;7;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio in spaccio aziendale;Autoveicoli e motoveicoli;N;101119;500;125;N;NEGOZIO;2443;67;5;534;10148;1395722,47083333;4995928,01875
POINT (1396276.61429972 4993813.76362816);CF;CORSO VIGEVANO 46;Si;No;;1997;7;EXTRALIMENTARI;MEDIE STRUTTURE;Medie strutture di vendita;Edilizia/Sanitari;S;2175;276;.;N;NEGOZIO;1723;39;6;572;10155;1396276,61429972;4993813,76362816
POINT (1396276.61429972 4993813.76362816);EP;CORSO VIGEVANO 46;Si;No;;2012;8;             .;DIA di somministrazione;in sale cinematografiche, musei, teatri, sale concerto, complessi sportivi;Nessuna;;117584;57;;N;;1723;39;6;572;10155;1396276,61429972;4993813,76362816
POINT (1396276.61429972 4993813.76362816);CF;CORSO VIGEVANO 46;Si;No;;2025;1;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Librerie;S;127223;195;148;N;NEGOZIO;1723;39;6;572;10155;1396276,61429972;4993813,76362816
POINT (1396276.61429972 4993813.76362816);CF;CORSO VIGEVANO 46;Si;No;;2019;8;ALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Alimentari;S;144432;250;6;N;;1723;39;6;572;10155;1396276,61429972;4993813,76362816
POINT (1396276.61429972 4993813.76362816);CF;CORSO VIGEVANO 46;Si;No;;2014;7;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Cartolerie;S;129831;299;64;N;NEGOZIO;1723;39;6;572;10155;1396276,61429972;4993813,76362816
POINT (1396276.61429972 4993813.76362816);CF;CORSO VIGEVANO 46;Si;No;;2011;12;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Mista;S;118514;330;220;N;NEGOZIO;1723;39;6;572;10155;1396276,61429972;4993813,76362816
POINT (1396276.61429972 4993813.76362816);CF;CORSO VIGEVANO 46;Si;No;;2010;6;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Articoli sanitari e ortopedici;S;112572;100;20;N;NEGOZIO;1723;39;6;572;10155;1396276,61429972;4993813,76362816
POINT (1396235.353 4993820.998);CF;CORSO VIGEVANO 52/A;No;No;;2006;6;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;S;65173;106;20;N;NEGOZIO;4576;39;6;572;10155;1396235,353;4993820,998
POINT (1396231.72 4993821.65);CF;CORSO VIGEVANO 52/B;No;No;;2024;10;ALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Gastronomia;S;159575;36;36;N;;4576;39;6;572;10155;1396231,72;4993821,65
POINT (1396220.051 4993823.746);EP;CORSO VIGEVANO 52;Si;No;;2025;3;ALTRO;Somministrazione;U;Nessuna;;161018;98;;N;;4576;39;6;572;10155;1396220,051;4993823,746
POINT (1396220.051 4993823.746);EP;CORSO VIGEVANO 52;Si;No;;2022;5;ALTRO;DIA di somministrazione;nei circoli;Nessuna;;152097;30;;N;;4576;39;6;572;10155;1396220,051;4993823,746
POINT (1396187.877 4993777.453);CF;CORSO VIGEVANO 53/A;No;No;;2006;6;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Mista;S;65443;.;36;N;NEGOZIO;1046;24;7;694;10152;1396187,877;4993777,453
POINT (1396181.055 4993778.716);CF;CORSO VIGEVANO 53;Si;No;;2024;8;EXTRALIMENTARI;FORME SPECIALI DI VENDITA;Vend.dettaglio per corrispond./TV/altro sistema;Strumenti musicali;S;158957;.;.;N;;1046;24;7;694;10152;1396181,055;4993778,716
POINT (1396181.055 4993778.716);CF;CORSO VIGEVANO 53;Si;No;;2014;9;EXTRALIMENTARI;FORME SPECIALI DI VENDITA;Vend.dettaglio a domicilio;Extralimentari;S;130113;.;.;N;;1046;24;7;694;10152;1396181,055;4993778,716
